LOC100711599	CLINGEN:C0007194~Hypertrophic Cardiomyopathy
myh9	CLINGEN:C0398641~Epstein syndrome (disorder)
myh9	CLINGEN:C0403445~Fechtner syndrome (disorder)
myh9	CLINGEN:C1842035~Giant Platelet Syndrome with Thrombocytopenia
myh9	CLINGEN:C1854520~SEBASTIAN SYNDROME
myh11	CLINGEN:C4707243~Familial thoracic aortic aneurysm and aortic dissection
LOC100690118	CLINGEN:C1834460~CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 10
LOC100694458	CLINGEN:C4707243~Familial thoracic aortic aneurysm and aortic dissection
myo1c	CLINGEN:C0452138~Sensorineural hearing loss, bilateral
myo1c	CLINGEN:C1852282~DEAFNESS, AUTOSOMAL DOMINANT 1 (disorder)
LOC100711408	CLINGEN:C3711374~Nonsyndromic Deafness
myo7a	CLINGEN:C1568247~Usher Syndrome, Type I
myo7a	CLINGEN:C1848638~USHER SYNDROME, TYPE IB (disorder)
myo7a	CLINGEN:C1848639~USHER SYNDROME, TYPE IA, FORMERLY
myo7a	CLINGEN:C1848640~USHER SYNDROME, TYPE I, FRENCH VARIETY, FORMERLY
myo7a	CLINGEN:C3711374~Nonsyndromic Deafness
LOC100691922	CLINGEN:C0003886~Arthrogryposis
nbn	CLINGEN:C0346153~Breast Cancer, Familial
nbn	CLINGEN:C0398791~Nijmegen Breakage Syndrome
ndp	CLINGEN:C0266526~Norrie disease
ndufa1	CLINGEN:C0023264~Leigh Disease
ndufa1	CLINGEN:C1838951~LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY
ndufa1	CLINGEN:C1850597~Leigh Syndrome Due To Mitochondrial Complex II Deficiency
ndufa1	CLINGEN:C1850598~Leigh Syndrome due to Mitochondrial Complex III Deficiency
ndufa1	CLINGEN:C1850599~Leigh Syndrome due to Mitochondrial Complex IV Deficiency
ndufa1	CLINGEN:C1850600~Leigh Syndrome due to Mitochondrial Complex V Deficiency
ndufa1	CLINGEN:C2931891~Necrotizing encephalopathy, infantile subacute, of Leigh
ndufa2	CLINGEN:C0023264~Leigh Disease
ndufa2	CLINGEN:C1838951~LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY
ndufa2	CLINGEN:C1850597~Leigh Syndrome Due To Mitochondrial Complex II Deficiency
ndufa2	CLINGEN:C1850598~Leigh Syndrome due to Mitochondrial Complex III Deficiency
ndufa2	CLINGEN:C1850599~Leigh Syndrome due to Mitochondrial Complex IV Deficiency
ndufa2	CLINGEN:C1850600~Leigh Syndrome due to Mitochondrial Complex V Deficiency
ndufa2	CLINGEN:C2931891~Necrotizing encephalopathy, infantile subacute, of Leigh
neb	CLINGEN:C1850569~Nemaline Myopathy 2
ndufa9	CLINGEN:C0023264~Leigh Disease
ndufa9	CLINGEN:C1838951~LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY
ndufa9	CLINGEN:C1850597~Leigh Syndrome Due To Mitochondrial Complex II Deficiency
ndufa9	CLINGEN:C1850598~Leigh Syndrome due to Mitochondrial Complex III Deficiency
ndufa9	CLINGEN:C1850599~Leigh Syndrome due to Mitochondrial Complex IV Deficiency
ndufa9	CLINGEN:C1850600~Leigh Syndrome due to Mitochondrial Complex V Deficiency
ndufa9	CLINGEN:C2931891~Necrotizing encephalopathy, infantile subacute, of Leigh
ndufa10	CLINGEN:C0023264~Leigh Disease
ndufa10	CLINGEN:C1838951~LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY
ndufa10	CLINGEN:C1850597~Leigh Syndrome Due To Mitochondrial Complex II Deficiency
ndufa10	CLINGEN:C1850598~Leigh Syndrome due to Mitochondrial Complex III Deficiency
ndufa10	CLINGEN:C1850599~Leigh Syndrome due to Mitochondrial Complex IV Deficiency
ndufa10	CLINGEN:C1850600~Leigh Syndrome due to Mitochondrial Complex V Deficiency
ndufa10	CLINGEN:C2931891~Necrotizing encephalopathy, infantile subacute, of Leigh
ndufs1	CLINGEN:C0023264~Leigh Disease
ndufs1	CLINGEN:C1838951~LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY
ndufs1	CLINGEN:C1850597~Leigh Syndrome Due To Mitochondrial Complex II Deficiency
ndufs1	CLINGEN:C1850598~Leigh Syndrome due to Mitochondrial Complex III Deficiency
ndufs1	CLINGEN:C1850599~Leigh Syndrome due to Mitochondrial Complex IV Deficiency
ndufs1	CLINGEN:C1850600~Leigh Syndrome due to Mitochondrial Complex V Deficiency
ndufs1	CLINGEN:C2931891~Necrotizing encephalopathy, infantile subacute, of Leigh
ndufs3	CLINGEN:C0023264~Leigh Disease
ndufs3	CLINGEN:C1838951~LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY
ndufs3	CLINGEN:C1850597~Leigh Syndrome Due To Mitochondrial Complex II Deficiency
ndufs3	CLINGEN:C1850598~Leigh Syndrome due to Mitochondrial Complex III Deficiency
ndufs3	CLINGEN:C1850599~Leigh Syndrome due to Mitochondrial Complex IV Deficiency
